Data;Abertura;Máxima;Mínima;Fechamento
29/11/24 18:20;126270;126335;126015;126015
29/11/24 18:15;126125;126320;126125;126275
29/11/24 18:10;126135;126210;126015;126120
29/11/24 18:05;126310;126335;126095;126135
29/11/24 18:00;126415;126440;126240;126305
29/11/24 17:55;126565;126575;126370;126420
29/11/24 17:50;126445;126675;126440;126565
